# ,Carnatic,Hindustani,Turkish Makam,Arabic Maqam,West African,Balinese Gamelan,Javanese Gamelan,Western CP,Chinese,Japanese Gagaku
0.000000,0.265761,0.534996,0.744437,0.613210,0.726194,1.008988,1.866368,2.031102,2.471066
0.265761,0.000000,0.273119,0.491672,0.803047,0.701463,0.836809,1.613227,1.778373,2.213857
0.534996,0.273119,0.000000,0.228668,1.051122,0.813250,0.766209,1.368720,1.550218,1.972539
0.744437,0.491672,0.228668,0.000000,1.244649,0.940417,0.779477,1.183782,1.405889,1.807624
0.613210,0.803047,1.051122,1.244649,0.000000,0.613548,1.125363,2.195287,2.319367,2.776042
0.726194,0.701463,0.813250,0.940417,0.613548,0.000000,0.531507,1.645008,1.750029,2.203583
1.008988,0.836809,0.766209,0.779477,1.125363,0.531507,0.000000,1.137651,1.220697,1.672805
1.866368,1.613227,1.368720,1.183782,2.195287,1.645008,1.137651,0.000000,0.444533,0.694811
2.031102,1.778373,1.550218,1.405889,2.319367,1.750029,1.220697,0.444533,0.000000,0.465678
2.471066,2.213857,1.972539,1.807624,2.776042,2.203583,1.672805,0.694811,0.465678,0.000000
